"Country","Landscape","size","literate","years","age"
"GHA","L01",6.58620689655172,0.318322386425835,3.244978106185,28.0612653629895
"GHA","L02",7.89655172413793,0.279912616119513,2.65362578034992,21.626471421299
"GHA","L03",4.2,0.379285714285714,4.19550264550265,33.6377777777778
"GHA","L04",5.03448275862069,0.534688013136289,7.48575533661741,34.0354132457581
"GHA","L05",5.6,0.577164502164502,5.70803391053391,29.8013023088023
"GHA","L06",6.52272727272727,0.491740897990898,4.6328314047064,31.2651192557443
"RWA","L01",5.75,0.45025493025493,2.58925024050024,24.4151316738817
"RWA","L02",4.86666666666667,0.555396825396825,3.62357142857143,24.5377777777778
"RWA","L03",5.23333333333333,0.589748677248677,4.05398148148148,23.8431746031746
"RWA","L04",5.7,0.566256613756614,3.15502645502646,24.825171957672
"RWA","L06",4.36666666666667,0.556987734487735,3.65834054834055,25.9583369408369
"RWA","L07",5.16666666666667,0.539748677248677,2.81496031746032,23.9290608465608
"TZA","L03",5.56666666666667,0.628944203944204,3.91746151996152,25.8612818662819
"TZA","L10",5.33333333333333,0.628703703703704,3.33406084656085,24.8209523809524
"TZA","L11",3.63333333333333,0.754920634920635,4.77793650793651,32.3780952380952
"TZA","L18",4.8,0.718373015873016,4.59634920634921,25.2013888888889
"TZA","L19",4.96666666666667,0.764484126984127,4.205,26.5123015873016
"TZA","L20",7.2,0.531252633532045,3.26437067562068,22.1530670174053
"TZA","L22",5.06666666666667,0.524444444444444,3.16011363636364,26.9832972582973
"UGA","L01",7.86666666666667,0.210287305287305,2.41566082066082,21.2246098808599
"UGA","L02",6.3,0.311810966810967,4.11438672438672,27.187613035113
"UGA","L03",6.06666666666667,0.513822751322751,4.30810846560847,27.9383597883598
"UGA","L04",5.5,0.40521164021164,4.13607142857143,23.4134788359788
"UGA","L06",7.26666666666667,0.433909331409331,4.15522486772487,20.2847655122655
"UGA","L07",5.66666666666667,0.366441336441336,4.35128177378177,22.4856221556222
