"Country","Landscape","Mean_Annual_Fuelwood_Value","Fuelwood_Decreasing","Fuelwood_Shortage_Past_Year","Fuelwood_From_Natural_Areas","Nonfuel_NR_annual_value","Nonfuel_NR_decreasing","Collects_Nonfuel_Resources","Rate"
"GHA","L01",177.914311998949,0.916666666666667,0.16,0.833333333333333,19.9140310249659,0.891666666666667,0.785714285714286,4.348
"GHA","L02",121.302455594084,0.666666666666667,0.333333333333333,0.1,71.0393998033182,0.86140350877193,0.655172413793103,4.348
"GHA","L03",192.206597450388,1,0,0.0333333333333333,26.5486047224778,0.847222222222222,0.8,4.348
"GHA","L04",188.666053357866,0,0.5,0.0666666666666667,18.9147606509533,0.431818181818182,0.758620689655172,4.348
"GHA","L05",128.287282301811,NA,NA,0.0333333333333333,203.649187365839,0.5,0.333333333333333,4.348
"GHA","L06",207.369562360363,0.75,0.35,0.4,213.421008614201,0.770171957671958,0.818181818181818,4.348
"RWA","L01",205.007153075823,1,1,0.116666666666667,0,NA,0,838.8
"RWA","L02",127.801621363853,NA,NA,0,0,NA,0,838.8
"RWA","L03",192.370052455889,NA,NA,0,2.58305515816245,1,0.0333333333333333,838.8
"RWA","L04",184.500024665779,0.875,0.625,0.266666666666667,0,1,0.0344827586206897,838.8
"RWA","L06",164.593487063844,0.952380952380952,0.952380952380952,0.35,1.13257033857892,0.5,0.0666666666666667,838.8
"RWA","L07",195.994277539342,NA,NA,0,0,NA,0,838.8
"TZA","L03",163.764674001193,1,0.217391304347826,0.766666666666667,2.77280858676208,1,0.466666666666667,2236
"TZA","L10",130.202754830054,0.866666666666667,0,0.5,10.494931425164,0.78125,0.533333333333333,2236
"TZA","L11",80.1821881130097,1,0,0.966666666666667,0.775193798449612,1,0.333333333333333,2236
"TZA","L18",170.433328950507,1,0,0.5,47.376267143709,0.9,0.666666666666667,2236
"TZA","L19",163.546029576625,1,0.0344827586206897,0.966666666666667,26.7740011926058,1,0.3,2236
"TZA","L20",180.264519326604,1,0.366666666666667,1,1.01371496720334,1,0.233333333333333,2236
"TZA","L22",122.331555545617,1,0,1,8.28861061419201,0.962962962962963,0.9,2236
"UGA","L01",566.3421418637,0.4375,0.1875,0.533333333333333,197.893370421882,0.846153846153846,0.866666666666667,3595
"UGA","L02",507.742234585072,0.823529411764706,0.764705882352941,0.566666666666667,7.12100139082058,0.857142857142857,0.241379310344828,3595
"UGA","L03",591.191469633751,1,0.357142857142857,0.933333333333333,4.51738525730181,0.866666666666667,0.333333333333333,3595
"UGA","L04",545.572554473806,0.75,0.583333333333333,0.4,14.7167362076959,0.59375,0.533333333333333,3595
"UGA","L06",493.277700509968,0.590909090909091,0.318181818181818,0.733333333333333,25.7895224849328,0.576923076923077,0.433333333333333,3595
"UGA","L07",460.639777468707,0.941176470588235,0.705882352941177,0.566666666666667,27.6495132127956,0.856060606060606,0.733333333333333,3595
