"Country","Landscape..","avg_meals","food_shortage","diet_diversity","Nonfood.Spending","Food.Consumption.Value","Food.Spending"
"GHA","L01",2.96666666666667,0.133333333333333,0.583809523809524,6124.83588240903,2143.13379310345,3979.00117241379
"GHA","L02",3.13333333333333,0.133333333333333,0.704761904761905,6719.3578344192,2993.55517241379,5826.73489655172
"GHA","L03",2.7,0.0666666666666667,0.579047619047619,3780.01054254992,3432.2024,2743.9544
"GHA","L04",2.9,0.166666666666667,0.57047619047619,7603.16883553154,2074.45282758621,4939.45593103448
"GHA","L05",2.86666666666667,0,0.653809523809524,8346.78568847926,2101.4158,5244.0674
"GHA","L06",2.74,0.38,0.606571428571429,11464.3436108085,3546.3495,5061.54975
"RWA","L01",1.86666666666667,0.816666666666667,0.502857142857143,308791.86921659,293209.29,260229.002
"RWA","L02",2.2,0.8,0.556666666666667,1080737.07714286,314734.42,307886.7
"RWA","L03",1.93333333333333,0.9,0.554285714285714,509588.431121352,185879.1,323789.4
"RWA","L04",2,0.833333333333333,0.561904761904762,609530.521843318,200712.93,397063.48
"RWA","L06",2.06666666666667,0.7,0.59,483507.579339478,174925.355,334004.495
"RWA","L07",1.76666666666667,0.933333333333333,0.563333333333333,223137.537419355,231545.05,224523.53
"TZA","L03",2.16666666666667,0.2,0.603333333333333,681229.986021505,1369978.5,612558.1
"TZA","L10",2.53333333333333,0.6,0.558571428571429,762771.450076805,923660.1,832675.8
"TZA","L11",2.6,0.0666666666666667,0.654761904761905,869089.311213518,1134740.2,1100240.9
"TZA","L18",2.5,0.633333333333333,0.646666666666667,1234923.54623656,745254.4,1416687.25
"TZA","L19",2.7,0.466666666666667,0.618095238095238,639438.489093702,1158586.75862069,1289296.34482759
"TZA","L20",2.9,0.4,0.654285714285714,1870523.75606759,3061921.5,1613211.6
"TZA","L22",2.73333333333333,0.466666666666667,0.64,500967.980337942,1004390.2,1477995.2
"UGA","L01",2.4,0.8,0.596190476190476,3643496.43317972,1669175.2,2331527
"UGA","L02",2.36666666666667,0.8,0.584285714285714,2090915.12473118,822160.9,1920750.7
"UGA","L03",2.63333333333333,0.366666666666667,0.619047619047619,2597698.18494624,1810127,1341475.3
"UGA","L04",2.43333333333333,0.866666666666667,0.468571428571429,2985294.96589862,1808302.1,1783101.1
"UGA","L06",2.93333333333333,0.5,0.608095238095238,2817951.94592934,2161985.1,2135567.5
"UGA","L07",2.2,0.933333333333333,0.501904761904762,1831826.66943164,1058094.4,1257877.5
