school_code,label,country,years
1,Pp,TZA,0
2,Adult,TZA,0.5
11,D1,TZA,1
12,D2,TZA,2
13,D3,TZA,3
14,D4,TZA,4
15,D5,TZA,5
16,D6,TZA,6
17,D7,TZA,7
18,D8,TZA,8
20,Ms+Course,TZA,8
21,F1,TZA,8
22,F2,TZA,9
23,F3,TZA,10
24,F4,TZA,11
25,O'+Course,TZA,12
31,F5,TZA,12
32,F6,TZA,13
33,A'+Course,TZA,13
34,Diploma,TZA,13
41,U1,TZA,14
42,U2,TZA,15
43,U3,TZA,16
44,U4,TZA,17
45,U5+,TZA,18
1,P1,RWA,1
2,P2,RWA,2
3,P3,RWA,3
4,P4,RWA,4
5,P5,RWA,5
6,P6,RWA,6
7,S1,RWA,7
8,S2,RWA,8
9,S3,RWA,9
10,S4,RWA,10
11,S5,RWA,11
12,S6,RWA,12
13,Vocational Training,RWA,10
14,University,RWA,16
15,Postgraduate,RWA,18
1,Pp,UGA,0
2,Adult,UGA,0.5
11,P1,UGA,1
12,P2,UGA,2
13,P3,UGA,3
14,P4,UGA,4
15,P5,UGA,5
16,P6,UGA,6
17,P7,UGA,7
18,P8,UGA,8
20,Ms+Course,UGA,16
21,S1,UGA,8
22,S2,UGA,9
23,S3,UGA,10
24,S4,UGA,11
31,S5,UGA,12
32,S6,UGA,13
33,'A' +Course,UGA,4.5
34,Diploma,UGA,15
41,U1,UGA,14
42,U2,UGA,15
43,U3,UGA,16
44,U4,UGA,17
45,U5+,UGA,18
0,None,GHA,0
1,Pre-School,GHA,0
11,P1,GHA,1
12,P2,GHA,2
13,P3,GHA,3
14,P4,GHA,4
15,P5,GHA,5
16,P6,GHA,6
17,Jss1,GHA,7
18,Jss2,GHA,8
19,Jss3,GHA,9
20,M1,GHA,10
21,M2,GHA,11
22,M3,GHA,12
23,M4,GHA,13
24,Sss1,GHA,10
25,Sss2,GHA,11
26,Sss3,GHA,12
27,S1,GHA,8
28,S2,GHA,9
29,S3,GHA,10
30,S4,GHA,11
31,S5,GHA,12
32,L6,GHA,18
33,U6,GHA,18
41,Voc / Technical / Computer / Comm / Agric,GHA,10
42,Teacher Train,GHA,18
43,Nursing,GHA,18
51,Polytechnic,GHA,22
52,University,GHA,22
53,Other Tertiary,GHA,22
