"Country","Landscape..","size","literate","years","age"
"GHA","L01",6.36666666666667,0.319371727748691,3.09947643979058,26.1151832460733
"GHA","L02",7.63333333333333,0.2882096069869,2.45248868778281,22.4847161572052
"GHA","L03",4.2,0.388888888888889,4.03968253968254,26.3333333333333
"GHA","L04",4.86666666666667,0.60958904109589,6.81379310344828,28.1369863013699
"GHA","L05",5.6,0.583333333333333,5.68862275449102,28.0178571428571
"GHA","L06",5.74,0.560975609756098,4.83623693379791,29.7351916376307
"RWA","L01",5.75,0.466666666666667,2.71304347826087,22.7391304347826
"RWA","L02",4.86666666666667,0.554794520547945,3.52739726027397,23.2945205479452
"RWA","L03",5.23333333333333,0.592356687898089,3.94904458598726,23.1974522292994
"RWA","L04",5.7,0.543859649122807,3.1812865497076,23.093567251462
"RWA","L06",4.36666666666667,0.580152671755725,3.72519083969466,24.1412213740458
"RWA","L07",5.16666666666667,0.535483870967742,2.78709677419355,22.6451612903226
"TZA","L03",5.56666666666667,0.634730538922156,3.71556886227545,21.3233532934132
"TZA","L10",5.33333333333333,0.6375,3.296875,23
"TZA","L11",3.63333333333333,0.798165137614679,5.23394495412844,27.7981651376147
"TZA","L18",4.8,0.722222222222222,4.64583333333333,24.3055555555556
"TZA","L19",4.96666666666667,0.758389261744966,3.96644295302013,24.3422818791946
"TZA","L20",7.2,0.458333333333333,2.78703703703704,20.6388888888889
"TZA","L22",5.06666666666667,0.572368421052632,3.36842105263158,25.1710526315789
"UGA","L01",7.86666666666667,0.241525423728814,2.63135593220339,20.6483050847458
"UGA","L02",6.3,0.333333333333333,4.24074074074074,23.8994708994709
"UGA","L03",6.06666666666667,0.5,4.30769230769231,24.010989010989
"UGA","L04",5.5,0.418181818181818,4.08181818181818,22.0606060606061
"UGA","L06",7.26666666666667,0.41743119266055,4.03669724770642,19.5366972477064
"UGA","L07",5.66666666666667,0.358823529411765,4.12941176470588,21.3823529411765
