"Country","Landscape..","latitude","longitude","mean_zlen","mean_zwei","mean_zwfl","percent_stunted","percent_severe_stunted","percent_underweight","percent_severe_underweight","percent_wasting","percent_server_wasting","percent_overweight","percent_Composite_Index_Anthropometric_Failure"
"GHA","L01",10.559,-0.834998,-0.83875,-1.11090909090909,-0.76875,12.5,12.5,18.1818181818182,9.09090909090909,25,12.5,9.09090909090909,25
"GHA","L02",9.904005,-0.8545005,-2.09666666666667,-1.25939393939394,-0.643793103448276,48.4848484848485,24.2424242424242,45.4545454545455,18.1818181818182,13.7931034482759,0,15.1515151515152,62.5
"GHA","L03",7.709,-0.8810005,-2.758,-0.412,-0.465,80,40,20,20,25,25,20,80
"GHA","L04",6.552,-1.494,-1.895,-2.10142857142857,-1.55285714285714,60,30,42.8571428571429,28.5714285714286,42.8571428571429,14.2857142857143,0,77.7777777777778
"GHA","L05",5.092505,-2.578,-2.65777777777778,-1.89666666666667,-0.57,66.6666666666667,33.3333333333333,55.5555555555556,22.2222222222222,11.1111111111111,0,0,66.6666666666667
"GHA","L06",5.728,-0.51069975,-3.64176470588235,-2.77,-0.932352941176471,82.3529411764706,58.8235294117647,66.6666666666667,44.4444444444444,35.2941176470588,11.7647058823529,0,88.8888888888889
"RWA","L01",-2.6209,29.47978,-2.30583333333333,-0.908333333333333,0.562083333333333,54.1666666666667,29.1666666666667,16.6666666666667,8.33333333333333,0,0,4.16666666666667,54.1666666666667
"RWA","L02",-1.52564,29.59582,-1.51,-0.432142857142857,0.568571428571429,42.8571428571429,14.2857142857143,0,0,0,0,14.2857142857143,42.8571428571429
"RWA","L03",-1.93413,30.74331,-2.09142857142857,-0.987142857142857,0.201428571428571,57.1428571428571,35.7142857142857,28.5714285714286,0,0,0,0,64.2857142857143
"RWA","L04",-1.85441,29.42976,-1.67958333333333,-1.05625,-0.159583333333333,50,20.8333333333333,25,4.16666666666667,8.33333333333333,0,4.16666666666667,54.1666666666667
"RWA","L06",-2.02236,29.83785,-1.43611111111111,-0.657222222222222,0.185,22.2222222222222,11.1111111111111,11.1111111111111,0,5.55555555555556,0,5.55555555555556,27.7777777777778
"TZA","L03",-7.93602,31.7140425,-1.772,-2.17473684210526,-0.985294117647059,46.6666666666667,40,57.8947368421053,26.3157894736842,29.4117647058824,5.88235294117647,0,73.6842105263158
"TZA","L10",-8.53911,34.84814,-2.28407407407407,-1.48766666666667,0.138,59.2592592592593,40.7407407407407,40,20,6.66666666666667,0,16.6666666666667,63.3333333333333
"TZA","L11",-10.0674075,34.66131,-0.53,-0.594,-0.926666666666667,25,25,20,10,66.6666666666667,0,20,100
"TZA","L18",-7.534835,36.4463975,-4.375,-2.80357142857143,-0.488461538461539,100,91.6666666666667,85.7142857142857,42.8571428571429,7.69230769230769,0,0,100
"TZA","L19",-8.09763,36.522995,-3.13875,-0.791764705882353,0.703571428571429,68.75,68.75,29.4117647058824,17.6470588235294,0,0,17.6470588235294,73.3333333333333
"TZA","L20",-8.60363,34.31671,-1.015,-0.731470588235294,-0.0590625,30,13.3333333333333,14.7058823529412,8.82352941176471,21.875,3.125,2.94117647058824,50
"TZA","L22",-8.144195,38.7492175,-0.118333333333333,-1.432,0.83875,33.3333333333333,33.3333333333333,30,20,25,25,0,87.5
"UGA","L01",3.541976,31.241915,-0.564705882352941,-0.576923076923077,-0.463636363636364,23.5294117647059,11.7647058823529,7.69230769230769,2.56410256410256,21.2121212121212,12.1212121212121,10.2564102564103,44.1176470588235
"UGA","L02",0.994479,34.401019,-2.175,-1.23764705882353,0.398461538461538,58.3333333333333,33.3333333333333,29.4117647058824,11.7647058823529,15.3846153846154,0,5.88235294117647,69.2307692307692
"UGA","L03",0.161203,32.166468,-1.46666666666667,-0.9652,-0.706111111111111,50,22.2222222222222,32,4,27.7777777777778,16.6666666666667,8,72.7272727272727
"UGA","L04",-1.28438,29.831288,-1.73363636363636,-1.18863636363636,-0.235,50,22.7272727272727,22.7272727272727,18.1818181818182,9.09090909090909,4.54545454545455,4.54545454545455,54.5454545454545
"UGA","L06",1.834063,31.800354,-1.40310344827586,-0.763103448275862,0.150714285714286,31.0344827586207,24.1379310344828,20.6896551724138,13.7931034482759,7.14285714285714,7.14285714285714,13.7931034482759,36.6666666666667
"UGA","L07",2.41031,33.30098,-1.71294117647059,-0.635555555555556,0.129444444444444,41.1764705882353,23.5294117647059,27.7777777777778,0,5.55555555555556,0,11.1111111111111,41.1764705882353
